country_name,country_iso3,country_code,long_name,income_group,lending_category,region,currency_unit
Belize,BLZ,084,Belize,Upper middle income,IBRD,Latin America & Caribbean,Belize dollar
Benin,BEN,204,Republic of Benin,Low income,IDA,Sub-Saharan Africa,West African CFA franc
Bermuda,BMU,060,The Bermudas,High income,NULL,North America,Bermuda dollar
Bhutan,BTN,064,Kingdom of Bhutan,Lower middle income,IDA,South Asia,Bhutanese ngultrum
Bolivia,BOL,068,Plurinational State of Bolivia,Lower middle income,IBRD,Latin America & Caribbean,Bolivian Boliviano
Bonaire,BES,535,NULL,Others,NULL,NULL,NULL
Bosnia and Herzegovina,BIH,070,Bosnia and Herzegovina,Upper middle income,IBRD,Europe & Central Asia,Bosnia and Herzegovina convertible mark
Botswana,BWA,072,Republic of Botswana,Upper middle income,IBRD,Sub-Saharan Africa,Botswana pula
Bouvet Island,BVT,074,NULL,Others,NULL,NULL,NULL
Br. Antr. Terr,BAT,080,NULL,Others,NULL,NULL,NULL
Brazil,BRA,076,Federative Republic of Brazil,Upper middle income,IBRD,Latin America & Caribbean,Brazilian real
British Indian Ocean Ter.,IOT,086,NULL,Others,NULL,NULL,NULL
British Virgin Islands,VGB,092,NULL,Others,NULL,NULL,NULL
Brunei,BRN,096,Brunei Darussalam,High income,NULL,East Asia & Pacific,Brunei dollar
Bulgaria,BGR,100,Republic of Bulgaria,Upper middle income,IBRD,Europe & Central Asia,Bulgarian lev
Bunkers,BUN,837,NULL,Others,NULL,NULL,NULL
Burkina Faso,BFA,854,Burkina Faso,Low income,IDA,Sub-Saharan Africa,West African CFA franc
Burundi,BDI,108,Republic of Burundi,Low income,IDA,Sub-Saharan Africa,Burundi franc
Cambodia,KHM,116,Kingdom of Cambodia,Lower middle income,IDA,East Asia & Pacific,Cambodian riel
Cameroon,CMR,120,Republic of Cameroon,Lower middle income,Blend,Sub-Saharan Africa,Central African CFA franc
Canada,CAN,124,Canada,High income,NULL,North America,Canadian dollar
Cape Verde,CPV,132,Republic of Cabo Verde,Lower middle income,Blend,Sub-Saharan Africa,Cabo Verde escudo
Cayman Islands,CYM,136,Cayman Islands,High income,NULL,Latin America & Caribbean,Cayman Islands dollar
Central African Republic,CAF,140,Central African Republic,Low income,IDA,Sub-Saharan Africa,Central African CFA franc
Chad,TCD,148,Republic of Chad,Low income,IDA,Sub-Saharan Africa,Central African CFA franc
Chile,CHL,152,Republic of Chile,High income,IBRD,Latin America & Caribbean,Chilean peso
China,CHN,156,People's Republic of China,Upper middle income,IBRD,East Asia & Pacific,Chinese yuan
Christmas Island,CXR,162,NULL,Others,NULL,NULL,NULL
Cocos (Keeling) Islands,CCK,166,NULL,Others,NULL,NULL,NULL
Colombia,COL,170,Republic of Colombia,Upper middle income,IBRD,Latin America & Caribbean,Colombian peso
Comoros,COM,174,Union of the Comoros,Lower middle income,IDA,Sub-Saharan Africa,Comorian franc
"Congo, Dem. Rep.",ZAR,180,Democratic Republic of the Congo,Low income,IDA,Sub-Saharan Africa,Congolese franc
"Congo, Rep.",COG,178,Republic of Congo,Lower middle income,Blend,Sub-Saharan Africa,Central African CFA franc
Cook Islands,COK,184,NULL,Others,NULL,NULL,NULL
Costa Rica,CRI,188,Republic of Costa Rica,Upper middle income,IBRD,Latin America & Caribbean,Costa Rican colon
Cote d'Ivoire,CIV,384,Republic of Côte d'Ivoire,Lower middle income,IDA,Sub-Saharan Africa,West African CFA franc
Croatia,HRV,191,Republic of Croatia,High income,IBRD,Europe & Central Asia,Croatian kuna
Cuba,CUB,192,Republic of Cuba,Upper middle income,NULL,Latin America & Caribbean,Cuban peso
Curaçao,CUW,531,Curaçao,High income,NULL,Latin America & Caribbean,Netherlands Antillean guilder
Cyprus,CYP,196,Republic of Cyprus,High income,NULL,Europe & Central Asia,Euro
Czech Republic,CZE,203,Czech Republic,High income,NULL,Europe & Central Asia,Czech koruna
Czechoslovakia,CSK,200,NULL,Others,NULL,NULL,NULL
Denmark,DNK,208,Kingdom of Denmark,High income,NULL,Europe & Central Asia,Danish krone
Djibouti,DJI,262,Republic of Djibouti,Lower middle income,IDA,Middle East & North Africa,Djibouti franc
Dominica,DMA,212,Commonwealth of Dominica,Upper middle income,Blend,Latin America & Caribbean,East Caribbean dollar
Dominican Republic,DOM,214,Dominican Republic,Upper middle income,IBRD,Latin America & Caribbean,Dominican peso
East Asia & Pacific,EAS,EAS,East Asia & Pacific,Others,NULL,NULL,NULL
East Timor,TMP,626,Democratic Republic of Timor-Leste,Lower middle income,Blend,East Asia & Pacific,U.S. dollar
Ecuador,ECU,218,Republic of Ecuador,Upper middle income,IBRD,Latin America & Caribbean,U.S. dollar
"Egypt, Arab Rep.",EGY,818,Arab Republic of Egypt,Lower middle income,IBRD,Middle East & North Africa,Egyptian pound
El Salvador,SLV,222,Republic of El Salvador,Lower middle income,IBRD,Latin America & Caribbean,U.S. dollar
Equatorial Guinea,GNQ,226,Republic of Equatorial Guinea,Upper middle income,IBRD,Sub-Saharan Africa,Central African CFA franc
Eritrea,ERI,232,State of Eritrea,Low income,IDA,Sub-Saharan Africa,Eritrean nakfa
Estonia,EST,233,Republic of Estonia,High income,NULL,Europe & Central Asia,Euro
Eswatini,SWZ,748,Kingdom of Eswatini,Lower middle income,IBRD,Sub-Saharan Africa,Swazi lilangeni
Ethiopia(excludes Eritrea),ETH,231,Federal Democratic Republic of Ethiopia,Low income,IDA,Sub-Saharan Africa,Ethiopian birr
Ethiopia(includes Eritrea),ETF,230,NULL,Others,NULL,NULL,NULL
Europe & Central Asia,ECS,ECS,Europe & Central Asia,Others,NULL,NULL,NULL
Faeroe Islands,FRO,234,Faroe Islands,High income,NULL,Europe & Central Asia,Danish krone
Falkland Island,FLK,238,NULL,Others,NULL,NULL,NULL
Fiji,FJI,242,Republic of Fiji,Upper middle income,Blend,East Asia & Pacific,Fijian dollar
Finland,FIN,246,Republic of Finland,High income,NULL,Europe & Central Asia,Euro
Fm Sudan,SDN,736,Republic of the Sudan,Lower middle income,IDA,Sub-Saharan Africa,Sudanese pound
Fr. So. Ant. Tr,ATF,260,NULL,Others,NULL,NULL,NULL
France,FRA,250,French Republic,High income,NULL,Europe & Central Asia,Euro
Free Zones,FRE,838,NULL,Others,NULL,NULL,NULL
French Guiana,GUF,254,NULL,Others,NULL,NULL,NULL
French Polynesia,PYF,258,French Polynesia,High income,NULL,East Asia & Pacific,CFP franc
Gabon,GAB,266,Gabonese Republic,Upper middle income,IBRD,Sub-Saharan Africa,Central African CFA franc
"Gambia, The",GMB,270,Republic of The Gambia,Low income,IDA,Sub-Saharan Africa,Gambian dalasi
Georgia,GEO,268,Georgia,Upper middle income,IBRD,Europe & Central Asia,Georgian lari
German Democratic Republic,DDR,278,NULL,Others,NULL,NULL,NULL
Germany,DEU,276,Federal Republic of Germany,High income,NULL,Europe & Central Asia,Euro
Ghana,GHA,288,Republic of Ghana,Lower middle income,IDA,Sub-Saharan Africa,New Ghanaian cedi
Gibraltar,GIB,292,NULL,Others,NULL,NULL,NULL
Greece,GRC,300,Hellenic Republic,High income,NULL,Europe & Central Asia,Euro
Greenland,GRL,304,Greenland,High income,NULL,Europe & Central Asia,Danish krone
Grenada,GRD,308,Grenada,Upper middle income,Blend,Latin America & Caribbean,East Caribbean dollar
Guadeloupe,GLP,312,NULL,Others,NULL,NULL,NULL
Guam,GUM,316,Guam,High income,NULL,East Asia & Pacific,U.S. dollar
Guatemala,GTM,320,Republic of Guatemala,Upper middle income,IBRD,Latin America & Caribbean,Guatemalan quetzal
Guinea,GIN,324,Republic of Guinea,Low income,IDA,Sub-Saharan Africa,Guinean franc
Guinea-Bissau,GNB,624,Republic of Guinea-Bissau,Low income,IDA,Sub-Saharan Africa,West African CFA franc
Guyana,GUY,328,Co-operative Republic of Guyana,Upper middle income,IDA,Latin America & Caribbean,Guyana dollar
Haiti,HTI,332,Republic of Haiti,Low income,IDA,Latin America & Caribbean,Haitian gourde
Heard Island and McDonald Isla,HMD,334,NULL,Others,NULL,NULL,NULL
Holy See,VAT,336,NULL,Others,NULL,NULL,NULL
Honduras,HND,340,Republic of Honduras,Lower middle income,IDA,Latin America & Caribbean,Honduran lempira
"Hong Kong, China",HKG,344,Hong Kong Special Administrative Region of the People's Republic of China,High income,NULL,East Asia & Pacific,Hong Kong dollar
Hungary,HUN,348,Hungary,High income,NULL,Europe & Central Asia,Hungarian forint
Iceland,ISL,352,Republic of Iceland,High income,NULL,Europe & Central Asia,Iceland krona
India,IND,356,Republic of India,Lower middle income,IBRD,South Asia,Indian rupee
Indonesia,IDN,360,Republic of Indonesia,Lower middle income,IBRD,East Asia & Pacific,Indonesian rupiah
"Iran, Islamic Rep.",IRN,364,Islamic Republic of Iran,Upper middle income,IBRD,Middle East & North Africa,Iranian rial
Iraq,IRQ,368,Republic of Iraq,Upper middle income,IBRD,Middle East & North Africa,Iraqi dinar
Ireland,IRL,372,Ireland,High income,NULL,Europe & Central Asia,Euro
Israel,ISR,376,State of Israel,High income,NULL,Middle East & North Africa,Israeli new shekel
Italy,ITA,380,Italian Republic,High income,NULL,Europe & Central Asia,Euro
Jamaica,JAM,388,Jamaica,Upper middle income,IBRD,Latin America & Caribbean,Jamaican dollar
Japan,JPN,392,Japan,High income,NULL,East Asia & Pacific,Japanese yen
Jordan,JOR,400,Hashemite Kingdom of Jordan,Upper middle income,IBRD,Middle East & North Africa,Jordanian dinar
Kazakhstan,KAZ,398,Republic of Kazakhstan,Upper middle income,IBRD,Europe & Central Asia,Kazakh tenge
Kenya,KEN,404,Republic of Kenya,Lower middle income,Blend,Sub-Saharan Africa,Kenyan shilling
Kiribati,KIR,296,Republic of Kiribati,Lower middle income,IDA,East Asia & Pacific,Australian dollar
"Korea, Dem. Rep.",PRK,408,Democratic People's Republic of Korea,Low income,NULL,East Asia & Pacific,Democratic People's Republic of Korean won
"Korea, Rep.",KOR,410,Republic of Korea,High income,NULL,East Asia & Pacific,Korean won
Kuwait,KWT,414,State of Kuwait,High income,NULL,Middle East & North Africa,Kuwaiti dinar
Kyrgyz Republic,KGZ,417,Kyrgyz Republic,Lower middle income,IDA,Europe & Central Asia,Kyrgyz som
Lao PDR,LAO,418,Lao People's Democratic Republic,Lower middle income,IDA,East Asia & Pacific,Lao kip
Latin America & Caribbean,LCN,LCN,Latin America & Caribbean,Others,NULL,NULL,NULL
Latvia,LVA,428,Republic of Latvia,High income,NULL,Europe & Central Asia,Euro
Lebanon,LBN,422,Lebanese Republic,Upper middle income,IBRD,Middle East & North Africa,Lebanese pound
Lesotho,LSO,426,Kingdom of Lesotho,Lower middle income,IDA,Sub-Saharan Africa,Lesotho loti
Liberia,LBR,430,Republic of Liberia,Low income,IDA,Sub-Saharan Africa,U.S. dollar
Libya,LBY,434,Socialist People's Libyan Arab Jamahiriya,Upper middle income,IBRD,Middle East & North Africa,Libyan dinar
Lithuania,LTU,440,Republic of Lithuania,High income,NULL,Europe & Central Asia,Euro
Luxembourg,LUX,442,Grand Duchy of Luxembourg,High income,NULL,Europe & Central Asia,Euro
Macao,MAC,446,Macao Special Administrative Region of the People's Republic of China,High income,NULL,East Asia & Pacific,Macao pataca
